,author,title,sentence,sentence_nr,words,kind
5395,"Stoker, Bram",Dracula,Yes,3662,NA,NA
5396,"Stoker, Bram",Dracula,And did you not hear me swear promise to her that so she closed her eyes grateful,3663,NA,NA
5398,"Stoker, Bram",Dracula,You have for many years trust me you have believe me weeks past when there be things so strange that you might have well doubt,3665,NA,NA
5399,"Stoker, Bram",Dracula,Believe me yet a little friend John,3666,John Seward,person
5402,"Stoker, Bram",Dracula,If you trust me not then I must tell what I think and that is not perhaps well,3667,NA,NA
5405,"Stoker, Bram",Dracula,He paused a moment and went on solemnly Friend John there are strange and terrible days before us,3669,John Seward,person
5408,"Stoker, Bram",Dracula,Let us not be two but one that so we work to a good end,3670,NA,NA
5409,"Stoker, Bram",Dracula,Will you not have faith in me,3671,NA,NA
5410,"Stoker, Bram",Dracula,I took his hand and promised him,3672,NA,NA
5411,"Stoker, Bram",Dracula,I held my door open as he went away and watched him go into his room and close the door,3673,NA,NA
5412,"Stoker, Bram",Dracula,As I stood without moving I saw one of the maids pass silently along the passageshe had her back towards me so did not see meand go into the room where Lucy lay,3674,Lucy Westenra,person
5414,"Stoker, Bram",Dracula,The sight touched me,3675,NA,NA
5418,"Stoker, Bram",Dracula,Here was a poor girl putting aside the terrors which she naturally had of death to go watch alone by the bier of the mistress whom she loved so that the poor clay might not be lonely till laid to eternal rest                                       I must have slept long and soundly for it was broad daylight when Van Helsing waked me by coming into my room,3677,Van Helsing,person
5423,"Stoker, Bram",Dracula,He came over to my bedside and said  You need not trouble about the knives we shall not do it,3678,NA,NA
5424,"Stoker, Bram",Dracula,Why not,3679,NA,NA
5425,"Stoker, Bram",Dracula,I asked,3680,NA,NA
5426,"Stoker, Bram",Dracula,For his solemnity of the night before had greatly impressed me,3681,NA,NA
5428,"Stoker, Bram",Dracula,See,3683,NA,NA
5429,"Stoker, Bram",Dracula,Here he held up the little golden crucifix,3684,NA,NA
5430,"Stoker, Bram",Dracula,This was stolen in the night,3685,NA,NA
5431,"Stoker, Bram",Dracula,How stolen I asked in wonder since you have it now,3686,NA,NA
5432,"Stoker, Bram",Dracula,Because I get it back from the worthless wretch who stole it from the woman who robbed the dead and the living,3687,NA,NA
5435,"Stoker, Bram",Dracula,He went away on the word leaving me with a new mystery to think of a new puzzle to grapple with,3690,NA,NA
5437,"Stoker, Bram",Dracula, Lidderdale,3692,NA,NA
5438,"Stoker, Bram",Dracula,He was very genial and very appreciative of what we had done and took off our hands all cares as to details,3693,NA,NA
5439,"Stoker, Bram",Dracula,During lunch he told us that Mrs Westenra had for some time expected sudden death from her heart and had put her affairs in absolute order he informed us that with the exception of a certain entailed property of Lucys fathers which now in default of direct issue went back to a distant branch of the family the whole estate real and personal was left absolutely to Arthur Holmwood,3694,Lucy Westenra,person
5441,"Stoker, Bram",Dracula,During lunch he told us that Mrs Westenra had for some time expected sudden death from her heart and had put her affairs in absolute order he informed us that with the exception of a certain entailed property of Lucys fathers which now in default of direct issue went back to a distant branch of the family the whole estate real and personal was left absolutely to Arthur Holmwood,3694,Arthur Holmwood,person
5444,"Stoker, Bram",Dracula,During lunch he told us that Mrs Westenra had for some time expected sudden death from her heart and had put her affairs in absolute order he informed us that with the exception of a certain entailed property of Lucys fathers which now in default of direct issue went back to a distant branch of the family the whole estate real and personal was left absolutely to Arthur Holmwood,3694,Mrs Westenra,person
5448,"Stoker, Bram",Dracula,Indeed we pressed the matter so far that we almost came into collision for she asked us if we were or were not prepared to carry out her wishes,3696,NA,NA
5449,"Stoker, Bram",Dracula,Of course we had then no alternative but to accept,3697,NA,NA
5450,"Stoker, Bram",Dracula,We were right in principle and ninetynine times out of a hundred we should have proved by the logic of events the accuracy of our judgment,3698,NA,NA
5451,"Stoker, Bram",Dracula,Frankly however I must admit that in this case any other form of disposition would have rendered impossible the carrying out of her wishes,3699,NA,NA
5452,"Stoker, Bram",Dracula,For by her predeceasing her daughter the latter would have come into possession of the property and even had she only survived her mother by five minutes her property would in case there were no willand a will was a practical impossibility in such a casehave been treated at her decease as under intestacy,3700,NA,NA
5455,"Stoker, Bram",Dracula,In which case Lord Godalming though so dear a friend would have had no claim in the world and the inheritors being remote would not be likely to abandon their just rights for sentimental reasons regarding an entire stranger,3701,Lord Godalming,person
5460,"Stoker, Bram",Dracula,I assure you my dear sirs I am rejoiced at the result perfectly rejoiced,3702,Sirs,person
5465,"Stoker, Bram",Dracula,He did not remain long but said he would look in later in the day and see Lord Godalming,3704,Lord Godalming,person
5468,"Stoker, Bram",Dracula,His coming however had been a certain comfort to us since it assured us that we should not have to dread hostile criticism as to any of our acts,3705,NA,NA
5469,"Stoker, Bram",Dracula,Arthur was expected at five oclock so a little before that time we visited the deathchamber,3706,Arthur Holmwood,person
5473,"Stoker, Bram",Dracula,It was so in very truth for now both mother and daughter lay in it,3707,NA,NA
5474,"Stoker, Bram",Dracula,The undertaker true to his craft had made the best display he could of his goods and there was a mortuary air about the place that lowered our spirits at once,3708,NA,NA
5477,"Stoker, Bram",Dracula,Van Helsing ordered the former arrangement to be adhered to explaining that as Lord Godalming was coming very soon it would be less harrowing to his feelings to see all that was left of his  fiancée  quite alone,3709,Van Helsing,person
5478,"Stoker, Bram",Dracula,Van Helsing ordered the former arrangement to be adhered to explaining that as Lord Godalming was coming very soon it would be less harrowing to his feelings to see all that was left of his  fiancée  quite alone,3709,Lord Godalming,person
5481,"Stoker, Bram",Dracula,The undertaker seemed shocked at his own stupidity and exerted himself to restore things to the condition in which we left them the night before so that when Arthur came such shocks to his feelings as we could avoid were saved,3710,Arthur Holmwood,person
5484,"Stoker, Bram",Dracula,Poor fellow,3711,NA,NA
5486,"Stoker, Bram",Dracula,He had I knew been very genuinely and devotedly attached to his father and to lose him and at such a time was a bitter blow to him,3713,NA,NA
5488,"Stoker, Bram",Dracula,With me he was warm as ever and to Van Helsing he was sweetly courteous but I could not help seeing that there was some constraint with him,3714,Van Helsing,person
5489,"Stoker, Bram",Dracula,The Professor noticed it too and motioned me to bring him upstairs,3715,NA,NA
5494,"Stoker, Bram",Dracula,I dont know how to thank you for all you have done for her,3717,NA,NA
5495,"Stoker, Bram",Dracula,I cant think yet,3718,NA,NA
5496,"Stoker, Bram",Dracula,Here he suddenly broke down and threw his arms round my shoulders and laid his head on my breast crying  Oh Jack Jack,3719,Jack,person
5497,"Stoker, Bram",Dracula,What shall I do,3720,NA,NA
5498,"Stoker, Bram",Dracula,The whole of life seems gone from me all at once and there is nothing in the wide world for me to live for,3721,NA,NA
5499,"Stoker, Bram",Dracula,I comforted him as well as I could,3722,NA,NA
5500,"Stoker, Bram",Dracula,In such cases men do not need much expression,3723,NA,NA
5503,"Stoker, Bram",Dracula,I stood still and silent till his sobs died away and then I said softly to him  Come and look at her  Together we moved over to the bed and I lifted the lawn from her face,3725,NA,NA
5507,"Stoker, Bram",Dracula,It frightened and amazed me somewhat and as for Arthur he fell atrembling and finally was shaken with doubt as with an ague,3728,Arthur Holmwood,person
5511,"Stoker, Bram",Dracula,At last after a long pause he said to me in a faint whisper  Jack is she really dead,3729,Jack,person
5515,"Stoker, Bram",Dracula,It seemed to quite do away with any doubt and after kneeling beside the couch for a while and looking at her lovingly and long he turned aside,3731,NA,NA
5516,"Stoker, Bram",Dracula,I told him that that must be goodbye as the coffin had to be prepared so he went back and took her dead hand in his and kissed it and bent over and kissed her forehead,3732,NA,NA
5517,"Stoker, Bram",Dracula,He came away fondly looking back over his shoulder at her as he came,3733,NA,NA
5519,"Stoker, Bram",Dracula,I left him in the drawingroom and told Van Helsing that he had said goodbye so the latter went to the kitchen to tell the undertakers men to proceed with the preparations and to screw up the coffin,3734,Van Helsing,person
5520,"Stoker, Bram",Dracula,When he came out of the room again I told him of Arthurs question and he replied  I am not surprised,3735,Arthur Holmwood,person
5523,"Stoker, Bram",Dracula,Just now I doubted for a moment myself,3736,NA,NA
5526,"Stoker, Bram",Dracula,Van Helsing had been silent all dinnertime but when we had lit our cigars he said  Lord but Arthur interrupted him  No no not that for Gods sake not yet at any rate,3738,Arthur Holmwood,person
5528,"Stoker, Bram",Dracula,Van Helsing had been silent all dinnertime but when we had lit our cigars he said  Lord but Arthur interrupted him  No no not that for Gods sake not yet at any rate,3738,Van Helsing,person
5532,"Stoker, Bram",Dracula,Forgive me sir I did not mean to speak offensively it is only because my loss is so recent,3739,NA,NA
5533,"Stoker, Bram",Dracula,The Professor answered very sweetly  I only used that name because I was in doubt,3740,NA,NA
5534,"Stoker, Bram",Dracula,I must not call you Mr and I have grown to love youyes my dear boy to love youas Arthur,3741,Arthur Holmwood,person
5540,"Stoker, Bram",Dracula,Arthur held out his hand and took the old mans warmly,3742,Arthur Holmwood,person
5543,"Stoker, Bram",Dracula,Call me what you will he said,3743,NA,NA
5546,"Stoker, Bram",Dracula,He paused a moment and went on I know that she understood your goodness even better than I do and if I was rude or in any way wanting at that time you acted soyou rememberthe Professor noddedyou must forgive me,3746,NA,NA
5547,"Stoker, Bram",Dracula,He answered with a grave kindness  I know it was hard for you to quite trust me then for to trust such violence needs to understand and I take it that you do notthat you cannottrust me now for you do not yet understand,3747,NA,NA
5548,"Stoker, Bram",Dracula,And there may be more times when I shall want you to trust when you cannotand may notand must not yet understand,3748,NA,NA
5549,"Stoker, Bram",Dracula,But the time will come when your trust shall be whole and complete in me and when you shall understand as though the sunlight himself shone through,3749,NA,NA
5551,"Stoker, Bram",Dracula,And indeed indeed sir said Arthur warmly I shall in all ways trust you,3751,Arthur Holmwood,person
5554,"Stoker, Bram",Dracula,I know and believe you have a very noble heart and you are Jacks friend and you were hers,3752,Jack,person
5557,"Stoker, Bram",Dracula,You shall do what you like,3753,NA,NA
5559,"Stoker, Bram",Dracula,You know that Mrs Westenra left you all her property,3755,Mrs Westenra,person
5561,"Stoker, Bram",Dracula,And as it is all yours you have a right to deal with it as you will,3757,NA,NA
5562,"Stoker, Bram",Dracula,I want you to give me permission to read all Miss Lucys papers and letters,3758,Lucy Westenra,person
5566,"Stoker, Bram",Dracula,Believe me it is no idle curiosity,3759,NA,NA
5567,"Stoker, Bram",Dracula,I have a motive of which be sure she would have approved,3760,NA,NA
5568,"Stoker, Bram",Dracula,I have them all here,3761,NA,NA
5569,"Stoker, Bram",Dracula,I took them before we knew that all was yours so that no strange hand might touch themno strange eye look through words into her soul,3762,NA,NA
5570,"Stoker, Bram",Dracula,I shall keep them if I may even you may not see them yet but I shall keep them safe,3763,NA,NA
5571,"Stoker, Bram",Dracula,No word shall be lost and in the good time I shall give them back to you,3764,NA,NA
5572,"Stoker, Bram",Dracula,Its a hard thing I ask but you will do it will you not for Lucys sake  Arthur spoke out heartily like his old self  Dr,3765,Lucy Westenra,person
5573,"Stoker, Bram",Dracula,Its a hard thing I ask but you will do it will you not for Lucys sake  Arthur spoke out heartily like his old self  Dr,3765,Arthur Holmwood,person
5578,"Stoker, Bram",Dracula,Van Helsing you may do what you will,3766,Van Helsing,person
5580,"Stoker, Bram",Dracula,I shall not trouble you with questions till the time comes,3768,NA,NA
5581,"Stoker, Bram",Dracula,The old Professor stood up as he said solemnly  And you are right,3769,NA,NA
5582,"Stoker, Bram",Dracula,There will be pain for us all but it will not be all pain nor will this pain be the last,3770,NA,NA
5586,"Stoker, Bram",Dracula,I slept on a sofa in Arthurs room that night,3773,Arthur Holmwood,person
5590,"Stoker, Bram",Dracula,Van Helsing did not go to bed at all,3774,Van Helsing,person
5591,"Stoker, Bram",Dracula,He went to and fro as if patrolling the house and was never out of sight of the room where Lucy lay in her coffin strewn with the wild garlic flowers which sent through the odour of lily and rose a heavy overpowering smell into the night,3775,Lucy Westenra,person
5594,"Stoker, Bram",Dracula,Mina Harkers Journal,3776,Mina Murray,person
5596,"Stoker, Bram",Dracula,22-Sep,3777,NA,NA
5597,"Stoker, Bram",Dracula,In the train to Exeter,3778,Exeter,location
5598,"Stoker, Bram",Dracula,Jonathan sleeping,3779,Jonathan Harker,person
5600,"Stoker, Bram",Dracula,It seems only yesterday that the last entry was made and yet how much between then in Whitby and all the world before me Jonathan away and no news of him and now married to Jonathan Jonath,3780,Jonathan Harker,person
5601,"Stoker, Bram",Dracula,It seems only yesterday that the last entry was made and yet how much between then in Whitby and all the world before me Jonathan away and no news of him and now married to Jonathan Jonath,3780,Whitby,location
5603,"Stoker, Bram",Dracula,han a solicitor a partner rich master of his business Mr Hawkins dead and buried and Jonathan with another attack that may harm him,3781,Peter Hawkins,person
5604,"Stoker, Bram",Dracula,han a solicitor a partner rich master of his business Mr Hawkins dead and buried and Jonathan with another attack that may harm him,3781,Jonathan Harker,person
5608,"Stoker, Bram",Dracula,Some day he may ask me about it,3782,NA,NA
5609,"Stoker, Bram",Dracula,Down it all goes,3783,NA,NA
5610,"Stoker, Bram",Dracula,I am rusty in my shorthandsee what unexpected prosperity does for usso it may be as well to freshen it up again with an exercise anyhow,3784,NA,NA
5611,"Stoker, Bram",Dracula,The service was very simple and very solemn,3785,NA,NA
5613,"Stoker, Bram",Dracula,There were only ourselves and the servants there one or two old friends of his from Exeter his London agent and a gentleman representing Sir John Paxton the President of the Incorporated Law Society,3786,London,location
5614,"Stoker, Bram",Dracula,There were only ourselves and the servants there one or two old friends of his from Exeter his London agent and a gentleman representing Sir John Paxton the President of the Incorporated Law Society,3786,Exeter,location
5615,"Stoker, Bram",Dracula,There were only ourselves and the servants there one or two old friends of his from Exeter his London agent and a gentleman representing Sir John Paxton the President of the Incorporated Law Society,3786,John Paxton,person
5619,"Stoker, Bram",Dracula,Jonathan and I stood hand in hand and we felt that our best and dearest friend was gone from us,3787,Jonathan Harker,person
5623,"Stoker, Bram",Dracula,We came back to town quietly taking a bus to Hyde Park Corner,3788,Park,location
5624,"Stoker, Bram",Dracula,We came back to town quietly taking a bus to Hyde Park Corner,3788,Hyde Park,location
5625,"Stoker, Bram",Dracula,Jonathan thought it would interest me to go into the Row for a while so we sat down but there were very few people there and it was sadlooking and desolate to see so many empty chairs,3789,Jonathan Harker,person
5627,"Stoker, Bram",Dracula,It made us think of the empty chair at home so we got up and walked down Piccadilly,3790,Piccadilly,location
5628,"Stoker, Bram",Dracula,Jonathan was holding me by the arm the way he used to in old days before I went to school,3791,Jonathan Harker,person
5630,"Stoker, Bram",Dracula,Jonathan was holding me by the arm the way he used to in old days before I went to school,3791,School,location
5631,"Stoker, Bram",Dracula,I felt it very improper for you cant go on for some years teaching etiquette and decorum to other girls without the pedantry of it biting into yourself a bit but it was Jonathan and he was my husband and we didnt know anybody who saw usand we didnt care if they didso on we walked,3792,Jonathan Harker,person
5633,"Stoker, Bram",Dracula,I was looking at a very beautiful girl in a big cartwheel hat sitting in a victoria outside Guilianos when I felt Jonathan clutch my arm so tight that he hurt me and he said under his breath My God I am always anxious about Jonathan for I fear that some nervous fit may upset him again so I turned to him quickly and asked him what it was that disturbed him,3793,Jonathan Harker,person
5639,"Stoker, Bram",Dracula,He was very pale and his eyes seemed bulging out as half in terror and half in amazement he gazed at a tall thin man with a beaky nose and black moustache and pointed beard who was also observing the pretty girl,3794,NA,NA
5640,"Stoker, Bram",Dracula,He was looking at her so hard that he did not see either of us and so I had a good view of him,3795,NA,NA
5641,"Stoker, Bram",Dracula,His face was not a good face it was hard and cruel and sensual and his big white teeth that looked all the whiter because his lips were so red were pointed like an animals,3796,NA,NA
5642,"Stoker, Bram",Dracula,Jonathan kept staring at him till I was afraid he would notice,3797,Jonathan Harker,person
5644,"Stoker, Bram",Dracula,I feared he might take it ill he looked so fierce and nasty,3798,NA,NA
5645,"Stoker, Bram",Dracula,I asked Jonathan why he was disturbed and he answered evidently thinking that I knew as much about it as he did Do you see who it is  No dear I said I dont know him who is it,3799,Jonathan Harker,person
5649,"Stoker, Bram",Dracula,His answer seemed to shock and thrill me for it was said as if he did not know that it was to me Mina to whom he was speaking  It is the man himself,3800,Mina Murray,person
5651,"Stoker, Bram",Dracula,He kept staring a man came out of the shop with a small parcel and gave it to the lady who then drove off,3802,NA,NA
5653,"Stoker, Bram",Dracula,The dark man kept his eyes fixed on her and when the carriage moved up Piccadilly he followed in the same direction and hailed a hansom,3803,Piccadilly,location
5654,"Stoker, Bram",Dracula,Jonathan kept looking after him and said as if to himself  I believe it is the Count but he has grown young,3804,Count Dracula,person
5655,"Stoker, Bram",Dracula,Jonathan kept looking after him and said as if to himself  I believe it is the Count but he has grown young,3804,Jonathan Harker,person
5660,"Stoker, Bram",Dracula,If I only knew if I only knew,3807,NA,NA
5661,"Stoker, Bram",Dracula,He was distressing himself so much that I feared to keep his mind on the subject by asking him any questions so I remained silent,3808,NA,NA
5662,"Stoker, Bram",Dracula,I drew him away quietly and he holding my arm came easily,3809,NA,NA
5663,"Stoker, Bram",Dracula,We walked a little further and then went in and sat for a while in the Green Park,3810,Park,location
5664,"Stoker, Bram",Dracula,We walked a little further and then went in and sat for a while in the Green Park,3810,Green Park,location
5665,"Stoker, Bram",Dracula,It was a hot day for autumn and there was a comfortable seat in a shady place,3811,NA,NA
5666,"Stoker, Bram",Dracula,After a few minutes staring at nothing Jonathans eyes closed and he went quietly into a sleep with his head on my shoulder,3812,Jonathan Harker,person
5668,"Stoker, Bram",Dracula,I thought it was the best thing for him so did not disturb him,3813,NA,NA
5670,"Stoker, Bram",Dracula,In about twenty minutes he woke up and said to me quite cheerfully  Why Mina have I been asleep,3814,Mina Murray,person
5671,"Stoker, Bram",Dracula,Oh do forgive me for being so rude,3815,NA,NA
5672,"Stoker, Bram",Dracula,Come and well have a cup of tea somewhere,3816,NA,NA
5673,"Stoker, Bram",Dracula,He had evidently forgotten all about the dark stranger as in his illness he had forgotten all that this episode had reminded him of,3817,NA,NA
5674,"Stoker, Bram",Dracula,I dont like this lapsing into forgetfulness it may make or continue some injury to the brain,3818,NA,NA
5675,"Stoker, Bram",Dracula,I must not ask him for fear I shall do more harm than good but I must somehow learn the facts of his journey abroad,3819,NA,NA
5676,"Stoker, Bram",Dracula,The time is come I fear when I must open that parcel and know what is written,3820,NA,NA
5677,"Stoker, Bram",Dracula,Oh Jonathan you will I know forgive me if I do wrong but it is for your own dear sake,3821,Jonathan Harker,person
5680,"Stoker, Bram",Dracula,                               Later,3822,NA,NA
5682,"Stoker, Bram",Dracula,A sad homecoming in every waythe house empty of the dear soul who was so good to us Jonathan still pale and dizzy under a slight relapse of his malady and now a telegram from Van Helsing whoever he may be  You will be grieved to hear that Mrs Westenra died five days ago and that Lucy died the day before yesterday,3823,Lucy Westenra,person
5683,"Stoker, Bram",Dracula,A sad homecoming in every waythe house empty of the dear soul who was so good to us Jonathan still pale and dizzy under a slight relapse of his malady and now a telegram from Van Helsing whoever he may be  You will be grieved to hear that Mrs Westenra died five days ago and that Lucy died the day before yesterday,3823,Jonathan Harker,person
5684,"Stoker, Bram",Dracula,A sad homecoming in every waythe house empty of the dear soul who was so good to us Jonathan still pale and dizzy under a slight relapse of his malady and now a telegram from Van Helsing whoever he may be  You will be grieved to hear that Mrs Westenra died five days ago and that Lucy died the day before yesterday,3823,Van Helsing,person
5686,"Stoker, Bram",Dracula,A sad homecoming in every waythe house empty of the dear soul who was so good to us Jonathan still pale and dizzy under a slight relapse of his malady and now a telegram from Van Helsing whoever he may be  You will be grieved to hear that Mrs Westenra died five days ago and that Lucy died the day before yesterday,3823,Mrs Westenra,person
5689,"Stoker, Bram",Dracula,They were both buried today,3824,NA,NA
5690,"Stoker, Bram",Dracula,Oh what a wealth of sorrow in a few words,3825,NA,NA
5691,"Stoker, Bram",Dracula,Poor Mrs Westenra,3826,Mrs Westenra,person
5692,"Stoker, Bram",Dracula,poor Lucy Gone gone never to return to us,3827,Lucy Westenra,person
5694,"Stoker, Bram",Dracula,And poor poor Arthur to have lost such sweetness out of his life,3828,Arthur Holmwood,person
5698,"Stoker, Bram",Dracula,Dr Sewards Diary,3830,Dr Seward,person
5699,"Stoker, Bram",Dracula,Dr Sewards Diary,3830,Seward,person
5700,"Stoker, Bram",Dracula,22-Sep,3831,NA,NA
5701,"Stoker, Bram",Dracula,It is all over,3832,NA,NA
5702,"Stoker, Bram",Dracula,Arthur has gone back to Ring and has taken Quincey Morris with him,3833,Arthur Holmwood,person
5705,"Stoker, Bram",Dracula,Arthur has gone back to Ring and has taken Quincey Morris with him,3833,Morris,person
5706,"Stoker, Bram",Dracula,What a fine fellow is Quincey,3834,NA,NA
5707,"Stoker, Bram",Dracula,I believe in my heart of hearts that he suffered as much about Lucys death as any of us but he bore himself through it like a moral Viking,3835,Lucy Westenra,person
5711,"Stoker, Bram",Dracula,If America can go on breeding men like that she will be a power in the world indeed,3836,America,location
5713,"Stoker, Bram",Dracula,Van Helsing is lying down having a rest preparatory to his journey,3837,Van Helsing,person
5714,"Stoker, Bram",Dracula,He goes over to Amsterdam tonight but says he returns tomorrow night that he only wants to make some arrangements which can only be made personally,3838,Amsterdam,location
5717,"Stoker, Bram",Dracula,He is to stop with me then if he can he says he has work to do in London which may take him some time,3839,London,location
5718,"Stoker, Bram",Dracula,Poor old fellow,3840,NA,NA
5719,"Stoker, Bram",Dracula,I fear that the strain of the past week has broken down even his iron strength,3841,NA,NA
5720,"Stoker, Bram",Dracula,All the time of the burial he was I could see putting some terrible restraint on himself,3842,NA,NA
5722,"Stoker, Bram",Dracula,When it was all over we were standing beside Arthur who poor fellow was speaking of his part in the operation where his blood had been transfused to his Lucys veins I could see Van Helsings face grow white and purple by turns,3843,Lucy Westenra,person
5723,"Stoker, Bram",Dracula,When it was all over we were standing beside Arthur who poor fellow was speaking of his part in the operation where his blood had been transfused to his Lucys veins I could see Van Helsings face grow white and purple by turns,3843,Arthur Holmwood,person
5724,"Stoker, Bram",Dracula,When it was all over we were standing beside Arthur who poor fellow was speaking of his part in the operation where his blood had been transfused to his Lucys veins I could see Van Helsings face grow white and purple by turns,3843,Van Helsing,person
5728,"Stoker, Bram",Dracula,Arthur was saying that he felt since then as if they two had been really married and that she was his wife in the sight of God,3844,Arthur Holmwood,person
5733,"Stoker, Bram",Dracula,None of us said a word of the other operations and none of us ever shall,3845,NA,NA
5735,"Stoker, Bram",Dracula,Arthur and Quincey went away together to the station and Van Helsing and I came on here,3846,Arthur Holmwood,person
5736,"Stoker, Bram",Dracula,Arthur and Quincey went away together to the station and Van Helsing and I came on here,3846,Van Helsing,person
5739,"Stoker, Bram",Dracula,The moment we were alone in the carriage he gave way to a regular fit of hysterics,3847,NA,NA
5740,"Stoker, Bram",Dracula,He has denied to me since that it was hysterics and insisted that it was only his sense of humour asserting itself under very terrible conditions,3848,NA,NA
5741,"Stoker, Bram",Dracula,He laughed till he cried and I had to draw down the blinds lest any one should see us and misjudge and then he cried till he laughed again and laughed and cried together just as a woman does,3849,NA,NA
5742,"Stoker, Bram",Dracula,I tried to be stern with him as one is to a woman under the circumstances but it had no effect,3850,NA,NA
5743,"Stoker, Bram",Dracula,Men and women are so different in manifestations of nervous strength or weakness,3851,NA,NA
5744,"Stoker, Bram",Dracula,Then when his face grew grave and stern again I asked him why his mirth and why at such a time,3852,NA,NA
5745,"Stoker, Bram",Dracula,His reply was in a way characteristic of him for it was logical and forceful and mysterious,3853,NA,NA
5746,"Stoker, Bram",Dracula,He said  Ah you dont comprehend friend John,3854,John Seward,person
5749,"Stoker, Bram",Dracula,Do not think that I am not sad though I laugh,3855,NA,NA
5750,"Stoker, Bram",Dracula,See I have cried even when the laugh did choke me,3856,NA,NA
5752,"Stoker, Bram",Dracula,Keep it always with you that laughter who knock at your door and say May I come in is not the true laughter,3858,NA,NA
5753,"Stoker, Bram",Dracula,No he is a king and he come when and how he like,3859,NA,NA
5754,"Stoker, Bram",Dracula,He ask no person he choose no time of suitability,3860,NA,NA
5755,"Stoker, Bram",Dracula,He say I am here,3861,NA,NA
5757,"Stoker, Bram",Dracula,And yet I can laugh at her very gravelaugh when the clay from the spade of the sexton drop upon her coffin and say Thud,3863,NA,NA
5764,"Stoker, Bram",Dracula,And yet when he say things that touch my husbandheart to the quick and make my fatherheart yearn to him as to no other mannot even to you friend John for we are more level in experiences than father and sonyet even at such moment King Laugh he come to me and shout and bellow in my ear Here I am here I am till the blood come dance back and bring some of the sunshine that he carry with him to my cheek,3867,John Seward,person
5768,"Stoker, Bram",Dracula,Oh friend John it is a strange world a sad world a world full of miseries and woes and troubles and yet when King Laugh come he make them all dance to the tune he play,3868,John Seward,person
5772,"Stoker, Bram",Dracula,And believe me friend John that he is good to come and kind,3870,John Seward,person
5775,"Stoker, Bram",Dracula,Ah we men and women are like ropes drawn tight with strain that pull us different ways,3871,NA,NA
5776,"Stoker, Bram",Dracula,Then tears come and like the rain on the ropes they brace us up until perhaps the strain become too great and we break,3872,NA,NA
5777,"Stoker, Bram",Dracula,But King Laugh he come like the sunshine and he ease off the strain again and we bear to go on with our labour what it may be,3873,NA,NA
5778,"Stoker, Bram",Dracula,I did not like to wound him by pretending not to see his idea but as I did not yet understand the cause of his laughter I asked him,3874,NA,NA
5783,"Stoker, Bram",Dracula,And all for what,3877,NA,NA
5784,"Stoker, Bram",Dracula,She is dead so,3878,NA,NA
5785,"Stoker, Bram",Dracula,Is it not,3879,NA,NA
5786,"Stoker, Bram",Dracula,Well for the life of me Professor I said I cant see anything to laugh at in all that,3880,NA,NA
5787,"Stoker, Bram",Dracula,Why your explanation makes it a harder puzzle than before,3881,NA,NA
5790,"Stoker, Bram",Dracula,Just so,3884,NA,NA
5791,"Stoker, Bram",Dracula,Said he not that the transfusion of his blood to her veins had made her truly his bride,3885,NA,NA
5792,"Stoker, Bram",Dracula,Yes and it was a sweet and comforting idea for him,3886,NA,NA
5793,"Stoker, Bram",Dracula,Quite so,3887,NA,NA
5794,"Stoker, Bram",Dracula,But there was a difficulty friend John,3888,John Seward,person
5797,"Stoker, Bram",Dracula,If so that then what about the others,3889,NA,NA
5798,"Stoker, Bram",Dracula,Ho ho Then this so sweet maid is a polyandrist and me with my poor wife dead to me but alive by Churchs law though no wits all goneeven I who am faithful husband to this nownowife am bigamist,3890,NA,NA
5799,"Stoker, Bram",Dracula,I dont see where the joke comes in there either,3891,NA,NA
5801,"Stoker, Bram",Dracula,He laid his hand on my arm and said  Friend John forgive me if I pain,3893,John Seward,person
5806,"Stoker, Bram",Dracula,I was touched by the tenderness of his tone and asked why,3896,NA,NA
5807,"Stoker, Bram",Dracula,Because I know,3897,NA,NA
5808,"Stoker, Bram",Dracula,And now we are all scattered and for many a long day loneliness will sit over our roofs with brooding wings,3898,NA,NA
5809,"Stoker, Bram",Dracula,Lucy lies in the tomb of her kin a lordly deathhouse in a lonely churchyard away from teeming London where the air is fresh and the sun rises over Hampstead Hill and where wild flowers grow of their own accord,3899,London,location
5810,"Stoker, Bram",Dracula,Lucy lies in the tomb of her kin a lordly deathhouse in a lonely churchyard away from teeming London where the air is fresh and the sun rises over Hampstead Hill and where wild flowers grow of their own accord,3899,Lucy Westenra,person
5814,"Stoker, Bram",Dracula,Lucy lies in the tomb of her kin a lordly deathhouse in a lonely churchyard away from teeming London where the air is fresh and the sun rises over Hampstead Hill and where wild flowers grow of their own accord,3899,Hampstead Hill,location
5818,"Stoker, Bram",Dracula,If I do or if I even open this again it will be to deal with different people and different themes for here at the end where the romance of my life is told ere I go back to take up the thread of my lifework I say sadly and without hope                          FINIS,3901,NA,NA
5819,"Stoker, Bram",Dracula,The Westminster Gazette 25 September,3902,NA,NA
5820,"Stoker, Bram",Dracula,A HAMPSTEAD MYSTERY,3903,NA,NA
5821,"Stoker, Bram",Dracula,The neighbourhood of Hampstead is just at present exercised with a series of events which seem to run on lines parallel to those of what was known to the writers of headlines as The Kensington Horror or The Stabbing Woman or The Woman in Black,3904,NA,NA
5822,"Stoker, Bram",Dracula,During the past two or three days several cases have occurred of young children straying from home or neglecting to return from their playing on the Heath,3905,NA,NA
